year,city,country,avg_temp
1808,Jodhpur,India,17.11
1809,Jodhpur,India,19.87
1810,Jodhpur,India,19.93
1811,Jodhpur,India,20
1812,Jodhpur,India,19.93
1813,Jodhpur,India,20.51
1814,Jodhpur,India,20.43
1815,Jodhpur,India,20.3
1816,Jodhpur,India,20.51
1817,Jodhpur,India,21.88
1818,Jodhpur,India,11.6
1819,Jodhpur,India,20.31
1820,Jodhpur,India,20.58
1821,Jodhpur,India,20.63
1822,Jodhpur,India,20.72
1823,Jodhpur,India,20.71
1824,Jodhpur,India,21.44
1825,Jodhpur,India,21
1826,Jodhpur,India,20.94
1827,Jodhpur,India,21.63
1828,Jodhpur,India,20.99
1829,Jodhpur,India,20.91
1830,Jodhpur,India,21.25
1831,Jodhpur,India,20.52
1832,Jodhpur,India,20.2
1833,Jodhpur,India,20.81
1834,Jodhpur,India,20.69
1835,Jodhpur,India,20.17
1836,Jodhpur,India,20.59
1837,Jodhpur,India,20.27
1838,Jodhpur,India,20.21
1839,Jodhpur,India,20.43
1840,Jodhpur,India,20.56
1841,Jodhpur,India,20.91
1842,Jodhpur,India,20.92
1843,Jodhpur,India,20.83
1844,Jodhpur,India,20.66
1845,Jodhpur,India,20.9
1846,Jodhpur,India,21.57
1847,Jodhpur,India,21.1
1848,Jodhpur,India,20.89
1849,Jodhpur,India,20.9
1850,Jodhpur,India,20.39
1851,Jodhpur,India,21.11
1852,Jodhpur,India,21.04
1853,Jodhpur,India,21.53
1854,Jodhpur,India,20.74
1855,Jodhpur,India,21.04
1856,Jodhpur,India,20.49
1857,Jodhpur,India,20.29
1858,Jodhpur,India,20.9
1859,Jodhpur,India,20.98
1860,Jodhpur,India,21.33
1861,Jodhpur,India,20.21
1862,Jodhpur,India,20.22
1863,Jodhpur,India,20.6
1864,Jodhpur,India,21.25
1865,Jodhpur,India,21.55
1866,Jodhpur,India,21.35
1867,Jodhpur,India,21.45
1868,Jodhpur,India,20.94
1869,Jodhpur,India,21.41
1870,Jodhpur,India,21.3
1871,Jodhpur,India,20.87
1872,Jodhpur,India,21.14
1873,Jodhpur,India,21.4
1874,Jodhpur,India,20.77
1875,Jodhpur,India,19.99
1876,Jodhpur,India,21.05
1877,Jodhpur,India,21.39
1878,Jodhpur,India,21.54
1879,Jodhpur,India,21.49
1880,Jodhpur,India,21.2
1881,Jodhpur,India,21.56
1882,Jodhpur,India,20.38
